certificateNo,name,documentType,facilityType,facilityClass,city,district,placeId,reason,firstPartySource
"19034","RAI FORESTA TEKIROVA & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJ33WX-Mq1wxQRGbqLv73lKCI","operational-confirmed",""
"13744","RAMADA RESORT SİDE","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJa50ODCRfwxQR04QbiH5YjPk","operational-confirmed",""
"16339","RAMİRA BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJBzh1oqqv3BQRvWHcVdwLrC8","operational-confirmed",""
"2022-7-0093","RAMİRA JOY HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJB0ulN4Ki3BQR10ot_we9EbA","operational-confirmed",""
"2022-7-0546","RELAX BEACH HOTEL","Basit Konaklama","HOTEL","","ANTALYA","ALANYA","ChIJ7QV2YiGZ3BQR6TuzPka51vw","operational-confirmed",""
"2022-7-0561","RESİTALYA OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ73L0XV6Y3BQRdxj49704DOM","operational-confirmed",""
"G_25977","RIOLAVITAS RESORT&SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJh9wijE1XwxQRiZmaLOomt1E","operational-confirmed",""
"2022-7-1387","RIOS LATTE BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ-XRL5Qe_wxQRisIPg4Yuv1s","operational-confirmed",""
"2022-7-0354","RIVER SUITE OTEL","Basit Konaklama","OTEL","","ANTALYA","MANAVGAT","ChIJezPGDNFXwxQRLOm6wClTf68","operational-confirmed",""
"2022-7-1474","RİNG BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJbb4GsRC_wxQRhTE_0iWHDLc","operational-confirmed",""
"8539","RİVİERA OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJT7SmK5ui3BQRR3rVCS6e3L0","operational-confirmed",""
"2456","RİVİERA ZEN OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJEb0ygVKj3BQRqWYpAeCTljY","operational-confirmed",""
"26174","RK MAGİC DREAM HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJxU6WK4y3wxQR-SRtkfNOqYs","operational-confirmed",""
"12069","ROBINSON CLUB ÇAMYUVA","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","KEMER","ChIJvWj609i1wxQRrUVrZR72PLY","operational-confirmed",""
"2389","ROBINSON CLUB PAMFİLYA","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJBdQi_3W2wxQRFyao9RznRqs","operational-confirmed",""
"11644","ROMA BEACH RESORT & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJd896kidZwxQR0GiHr13JANk","operational-confirmed",""
"24745","ROSE GARDEN PREMİUM HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJq3Qpop23wxQRhUMrGGBEbXk","operational-confirmed",""
"2022-7-0740","ROSELLA HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJAb3MVHyZ3BQRLrkEJcIcm_M","operational-confirmed",""
"16316","ROX RESORT HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJecMZxKi3wxQR4UlL7S5jdiA","operational-confirmed",""
"8056","ROYAL ATLANTİS","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJu6ojebhfwxQRk_6-JaF6dCY","operational-confirmed",""
"10404","ROYAL ATLANTİS SPA & RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJu6ojebhfwxQRk_6-JaF6dCY","operational-confirmed",""
"7967","ROYAL GARDEN BEACH OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJVdk_zfak3BQRteDolPOsjnk","operational-confirmed",""
"2022-7-1214","ROYAL OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJfb0XpPai3BQRl2IByIMl4kk","operational-confirmed",""
"20710","RUBİ HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJpXrwFKmv3BQRB7kMjzxIfiY","operational-confirmed",""
"8550","SAILOR'S BEACH CLUB","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJz26SQgK3wxQRfGjkrrlCK9Y","operational-confirmed",""
"2022-7-1498","SANDY BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","MANAVGAT","ChIJn0yhvbiZ3BQRA0cLJ4ZPd6Y","operational-confirmed",""
"2022-7-1374","SANTANA HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJZZBaKQm_wxQR4L_VGBD9yt8","operational-confirmed",""
"11926","SAPHİR RESORT & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ25yaM_6s3BQRc5cBOF4ZO00","operational-confirmed",""
"10151","SARITAŞ OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJSeI-PYWY3BQR8k_f_9ykVI8","operational-confirmed",""
"23988","SCYLAX HOTELS FAMİLY CLUB","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJS-S2iZqQ3BQR-AT3YERkNdI","operational-confirmed",""
"21775","SEALIFE KEMER RESORT HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJxeRjcgm3wxQRFRHMndsaBm8","operational-confirmed",""
"12593","SEAMELIA BEACH RESORT HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJl4-yyOCTwxQRvVHb7hjT7Y8","operational-confirmed",""
"23623","SEASHELL VEGA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJmSCa1q1ZwxQRlURQtG1J2Wc","operational-confirmed",""
"23192","SEDİR PARK JOY OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJrRj-YTCbwxQRq0blRTGTOD4","operational-confirmed",""
"12554","SEHER SUN PALACE RESORT & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJYe2y50FfwxQRSQrVk63HSbI","operational-confirmed",""
"2022-7-0584","SELÇUKHAN HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ82hLF6i_wxQRVS7zXvFxyB8","operational-confirmed",""
"18145","SELECTUM FAMILY RESORT SİDE","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJ-VceAeCsxBQRUgJ6YWpjC1k","operational-confirmed",""
"10977","SELECTUM FAMİLY COMFORT SİDE","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJz-C9WfpTwxQRSSdKLkqtNR0","operational-confirmed",""
"4601","SELECTUM NOA BELEK","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","SERİK","ChIJuQv5mL1kwxQRdcA9MFF4ReQ","operational-confirmed",""
"16338","SENSITIVE PREMIUM RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","SERİK","ChIJ0y6GYnlkwxQRWWUVbasntOA","operational-confirmed",""
"18610","SENZA GARDEN HOLIDAY CLUB HOTEL","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","ALANYA","ChIJK_jpf8il3BQRQ_GAmoFTk9Q","operational-confirmed",""
"22309","SENZA GRAND SANTANA OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJHzb1Owia3BQRuprj6kxeB44","operational-confirmed",""
"26069","SENZA SUNSET BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJoT9uAZmv3BQRjIDHhIiS_0I","operational-confirmed",""
"19582","SENZA THE INN RESORT & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJswA_o2Kl3BQRJeSSGC4a5gg","operational-confirmed",""
"23555","SERENİTY QUEEN HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJbxxH-Xyj3BQRo7bw6Q_hvm4","operational-confirmed",""
"2022-7-0619","SETTE SERENITY OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJPW6Lg1OY3BQRLS49RLLFcfE","operational-confirmed",""
"4365","SEVEN SEAS PALMERAS BAY HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJY8LGIV2l3BQReIdj34Pfg1o","operational-confirmed",""
"18626","SIRMA OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJaceaPuSPwxQRUBlTKSBOmx8","operational-confirmed",""
"11094","SİAM ELEGANCE HOTEL&SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","SERİK","ChIJFWBF2QxkwxQRzOoGdQxqCBI","operational-confirmed",""
"16293","SİDE ALEGRİA HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJk0qHjzhZwxQRSWBUjaw9KDY","operational-confirmed",""
"9767","SİDE BREEZE OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJbaC1DcZewxQRB1gdj1P-Gsw","operational-confirmed",""
"9476","SİDE MARE RESORT & SPA OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJLdtXyTlZwxQRIefolhI8UDA","operational-confirmed",""
"9717","Side Story Resort & Spa","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJIXHdm25ZwxQR-ZR8hDE3oz4","operational-confirmed",""
"8067","SİDE SUN OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJyZpwOHxZwxQRFfUUBWXfZPs","operational-confirmed","https://www.sidesunhotel.com/tr"
"13895","SİDE WEST PARK OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","MANAVGAT","ChIJVZf5XMRewxQRWohZ4qQUyS4","operational-confirmed",""
"11667","SİDEKUM OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJB5jG8DRZwxQRGiaXMi6eh5A","operational-confirmed",""
"9972","SİDELYA OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJ5RDFYQBfwxQRaUm7Ek7APYs","operational-confirmed",""
"18682","SİMPLY FİNE HOTEL ALİZE","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJt5i7mCyZ3BQR-CvwkOb_gBs","operational-confirmed",""
"25021","SİMUS BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","MANAVGAT","ChIJCxawGnxZwxQRI2XM3jiDt4Y","operational-confirmed",""
"4919","SİRİUS OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJybi8Ep7KwxQRq6cfATMhjX0","operational-confirmed",""
"2022-7-0460","SKYS HOTEL","Basit Konaklama","OTEL","","ANTALYA","MANAVGAT","ChIJP4xMyo9TwxQRUNKQKxsO8rk","operational-confirmed",""
"13213","SOLIVIA HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJBWLJRzil3BQRKaMAcSUrfr4","operational-confirmed",""
"18256","SUENO HOTELS BEACH SİDE","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJk7wjmnZZwxQRQC_w7LKyaF8","operational-confirmed",""
"8429","SULTAN SİPAHİ RESORT HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ6w4BbJui3BQR8CTSZnHYCBQ","operational-confirmed",""
"15427","SUN HEAVEN OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJY5EwYQ-l3BQRzObZ41jQs7Y","operational-confirmed",""
"2022-7-0547","SUN HEAVEN QUEEN","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJm28dZUplwBQR5Svdem-mZH8","operational-confirmed",""
"2022-7-0628","SUN VERA OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ_QRhcaCj3BQRT2SH1s_AMhk","operational-confirmed",""
"5052","SUNNY HİLL ALYA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJGyXBuZ2i3BQRH_6s_rljLoo","operational-confirmed",""
"2366","SVEO RESORT KEMER","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJ9T2C4Aa3wxQRGN1ox8-2Z5Q","operational-confirmed",""
"5833","SWANDOR HOTELS & RESORTS KEMER","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJObboQ_m2wxQRsVzsrZwstcQ","operational-confirmed",""
"27009","SY HOTELS BELEK","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","SERİK","ChIJERi-_L17wxQRT0WLJXq0r-U","operational-confirmed",""
"11828","TAÇ PREMIER HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJL4Mk4Aqa3BQRP7g9M5NMOWY","operational-confirmed",""
"2022-7-0644","TAL BEACH HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ4VUrSX25wxQRr_k5eYOj6SA","operational-confirmed",""
"14240","TELATİYE RESORT OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ-YdjAHqk3BQR2KHzECCGO98","operational-confirmed",""
"2022-7-0568","TEMİZ OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJJavJKHeY3BQRRoZMz3xwtso","operational-confirmed",""
"18054","THALİA UNİQUE","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJyZpwOHxZwxQRVHZETHKuCOY","operational-confirmed",""
"20834","THE MARİLİS HİLL RESORT HOTEL&SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ9eE9xdKt3BQRV1K5hWubTV0","operational-confirmed",""
"5499","THE NORM ORIENTAL OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJ2wWFC9u3wxQRpYR6dkMoKKA","operational-confirmed",""
"20308","THE X BELEK OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","SERİK","ChIJU_8aZJZ9wxQRH9FU58Mnzw0","operational-confirmed",""
"2022-7-0208","THRONE NİLBAHİR RESORT & SPA","Basit Konaklama","OTEL","","ANTALYA","MANAVGAT","ChIJg7P7dPWr3BQRbVKeGRzyp7g","operational-confirmed",""
"11352","TITANIC RESORT OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MURATPAŞA","ChIJZW5zPHB5wxQRtkfE0PP54M0","operational-confirmed",""
"8591","TİME BEACH OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJ9dG4HACj3BQRl3qUVC7pG0o","operational-confirmed",""
"8852","TİMO DELUXE RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ00mjBv6k3BQRQPl1pHcgzSk","operational-confirmed",""
"27393","TOLENZA HOTELS","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJf3KEAkmj3BQRFua5dPQwPQg","operational-confirmed",""
"15159","TOURİST OTEL ANTALYA","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","MURATPAŞA","ChIJTXbd1libwxQRphKP7dB0MHk","operational-confirmed",""
"20140","TRANSATLANTİK HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJXauaaPW4wxQR0L0XIQxMKk4","operational-confirmed",""
"9147","TRENDY SİDE BEACH","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJCaxQBXtZwxQRdFb063OkEKE","operational-confirmed",""
"11444","TU CASA GELİDONYA HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJC5qDsyaR3BQRVgCg1vqvd54","operational-confirmed",""
"12240","TUI BLUE PALM GARDEN","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJPQsgfFVRwxQRRu1m94sXmsQ","operational-confirmed",""
"12512","TUI BLUE SHERWOOD BELEK","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","SERİK","ChIJywcAQGd7wxQRega1IgpU0NQ","operational-confirmed",""
"8098","VALERİ BEACH","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJ2TNc0pu3wxQRQ1fJHSuUATA","operational-confirmed",""
"24164","VILLA SUNFLOWER HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJcZb12X6Y3BQR1ggAs-ZaYuY","operational-confirmed",""
"25755","VITA SILVA OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJTY_iS5pTwxQRgYP1dICP62E","operational-confirmed",""
"24591","VİKİNG BEACH OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJH5jRgmK3wxQR-Gtj8busHkA","operational-confirmed",""
"19953","VİKİNG PARK OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJQTL95fi2wxQRUlnd6UVrQok","operational-confirmed",""
"13089","VİKİNGEN İNFİNİTY RESORT & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ65OOuBWv3BQRgL8fUpyO86w","operational-confirmed",""
"2022-7-0196","VİVA BEACH HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJp9HyP-KR3BQRh635RQRhgSI","operational-confirmed",""
"11116","WASHINGTON RESORT HOTEL&SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJ1ZxMfvpTwxQR_04VRUHPw3g","operational-confirmed",""
"12023","WHİTE GOLD","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJaYZp0lKY3BQRH65Xcbe28K4","operational-confirmed",""
"1459","WIEN STAR OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJ8WT7G16Y3BQRkRE7q0_DlmE","operational-confirmed",""
"26173","WOME DELUXE HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJSeI-PYWY3BQRVZfQ-ryV_bs","operational-confirmed",""
"9091","XENO EFTALİA RESORT OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJxYxuzpOl3BQRV6EmZzoZZrk","operational-confirmed",""
"18776","XORİA DELUXE HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ18E-DAml3BQRWbicBRkBOjo","operational-confirmed",""
"12435","XPERIA SARAY BEACH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ_-bFV4Wi3BQR6b_en732VhA","operational-confirmed",""
"2022-7-1673","YALIHAN ASPENDOS OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJpRbgcamv3BQR7LKLomvg-os","operational-confirmed",""
"13594","YALIHAN UNA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJWaJ8mKqv3BQRZI7PUYnCc6A","operational-confirmed",""
"2022-7-0739","YAMAN LİFE OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJBZYVR1eY3BQRLolt-VKZjwo","operational-confirmed",""
"3535","YETKİN CLUB OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJC6RH2AGl3BQRDppg8H8Pa5g","operational-confirmed",""
"8641","YILDIRIMOĞLU","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJLXTfuHyY3BQR3t7lefowmDo","operational-confirmed",""
"9364","ZENA RESORT OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJp62D9Mi3wxQRBUVLITZX25Q","operational-confirmed",""
